common_name,count_train,class,order,family,genus,species,threshold_count,target_added,target_total_after_addition
Anteater Family,1,Mammalia,Pilosa,Myrmecophagidae,,,2,1,2
Atherurus Species,1,Mammalia,Rodentia,Hystricidae,Atherurus,,2,1,2
Austral Blackbird,1,Aves,Passeriformes,Icteridae,Curaeus,curaeus,2,1,2
Barn Swallow,1,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,2,1,2
Black-and-white Warbler,1,Aves,Passeriformes,Parulidae,Mniotilta,varia,2,1,2
Black-billed Thrush,1,Aves,Passeriformes,Turdidae,Turdus,ignobilis,2,1,2
Black-headed Wagtail,1,Aves,Passeriformes,Motacillidae,Motacilla,feldegg,2,1,2
Blue-faced Honeyeater,1,Aves,Passeriformes,Meliphagidae,Entomyzon,cyanotis,2,1,2
Broad-billed Motmot,1,Aves,Coraciiformes,Momotidae,Electron,platyrhynchum,2,1,2
Brotogeris Species,1,Aves,Psittaciformes,Psittacidae,Brotogeris,,2,1,2
Brown Titi Monkey,1,Mammalia,Primates,Pitheciidae,Plecturocebus,brunneus,2,1,2
California Chipmunk,1,Mammalia,Rodentia,Sciuridae,Neotamias,obscurus,2,1,2
Callithrix Species,1,Mammalia,Primates,Callitrichidae,Callithrix,,2,1,2
Canyon Towhee,1,Aves,Passeriformes,Passerellidae,Melozone,fusca,2,1,2
Cardinalis Species,1,Aves,Passeriformes,Cardinalidae,Cardinalis,,2,1,2
Cascade Golden-mantled Ground Squirrel,1,Mammalia,Rodentia,Sciuridae,Callospermophilus,saturatus,2,1,2
Cassin's Kingbird,1,Aves,Passeriformes,Tyrannidae,Tyrannus,vociferans,2,1,2
Cassin's Sparrow,1,Aves,Passeriformes,Passerellidae,Peucaea,cassinii,2,1,2
Cathartidae Family,1,Aves,Cathartiformes,Cathartidae,,,2,1,2
Certhiidae Family,1,Aves,Passeriformes,Certhiidae,,,2,1,2
Coal Tit,1,Aves,Passeriformes,Paridae,Periparus,ater,2,1,2
Common Dunnart,1,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,murina,2,1,2
Crested Tit,1,Aves,Passeriformes,Paridae,Lophophanes,cristatus,2,1,2
Cyanistes Species,1,Aves,Passeriformes,Paridae,Cyanistes,,2,1,2
Dacelo Species,1,Aves,Coraciiformes,Alcedinidae,Dacelo,,2,1,2
Domestic Water Buffalo,1,Mammalia,Artiodactyla,Bovidae,Bubalus,bubalis,2,1,2
European Bee-eater,1,Aves,Coraciiformes,Meropidae,Merops,apiaster,2,1,2
Faucon pèlerin,1,Aves,Falconiformes,Falconidae,Falco,peregrinus,2,1,2
Franklin's Gull,1,Aves,Charadriiformes,Laridae,Larus,pipixcan,2,1,2
Fringillidae Family,1,Aves,Passeriformes,Fringillidae,,,2,1,2
Gila Monster,1,Reptilia,Squamata,Helodermatidae,Heloderma,suspectum,2,1,2
Golden-mantle Saddleback Tamarin,1,Mammalia,Primates,Callitrichidae,Saguinus,tripartitus,2,1,2
Greater Yellowlegs,1,Aves,Charadriiformes,Scolopacidae,Tringa,melanoleuca,2,1,2
Green Anole,1,Reptilia,Squamata,Dactyloidae,Anolis,carolinensis,2,1,2
Grey Goshawk,1,Aves,Accipitriformes,Accipitridae,Accipiter,novaehollandiae,2,1,2
Grey Honeyeater,1,Aves,Passeriformes,Meliphagidae,Conopophila,whitei,2,1,2
Hoary Bamboo Rat,1,Mammalia,Rodentia,Spalacidae,Rhizomys,pruinosus,2,1,2
Hooded Siskin,1,Aves,Passeriformes,Fringillidae,Spinus,magellanicus,2,1,2
Horned Screamer,1,Aves,Anseriformes,Anhimidae,Anhima,cornuta,2,1,2
Indian Giant Squirrel,1,Mammalia,Rodentia,Sciuridae,Ratufa,indica,2,1,2
Jabiru,1,Aves,Ciconiiformes,Ciconiidae,Jabiru,mycteria,2,1,2
Knipolegus Species,1,Aves,Passeriformes,Tyrannidae,Knipolegus,,2,1,2
Lama Species,1,Mammalia,Cetartiodactyla,Camelidae,Lama,,2,1,2
Lepidocolaptes Species,1,Aves,Passeriformes,Furnariidae,Lepidocolaptes,,2,1,2
Long-billed Dowitcher,1,Aves,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus,2,1,2
Long-billed Hermit,1,Aves,Caprimulgiformes,Trochilidae,Phaethornis,longirostris,2,1,2
Maguari Stork,1,Aves,Ciconiiformes,Ciconiidae,Ciconia,maguari,2,1,2
Masked Lapwing,1,Aves,Charadriiformes,Charadriidae,Vanellus,miles,2,1,2
Merops Species,1,Aves,Coraciiformes,Meropidae,Merops,,2,1,2
Mexican Gray Squirrel,1,Mammalia,Rodentia,Sciuridae,Sciurus,aureogaster,2,1,2
Moorhen,1,Aves,Gruiformes,Rallidae,Gallinula,chloropus,2,1,2
Myotis Species,1,Mammalia,Chiroptera,Vespertilionidae,Myotis,,2,1,2
Myrmecophaga Species,1,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,,2,1,2
Myrmoborus Species,1,Aves,Passeriformes,Thamnophilidae,Myrmoborus,,2,1,2
Nile monitor,1,Reptilia,Squamata,Varanidae,Varanus,niloticus,2,1,2
Northern Grasshopper Mouse,1,Mammalia,Rodentia,Cricetidae,Onychomys,leucogaster,2,1,2
Northern Short-tailed Shrew,1,Mammalia,Eulipotyphla,Soricidae,Blarina,brevicauda,2,1,2
Nothocrax Species,1,Aves,Galliformes,Cracidae,Nothocrax,,2,1,2
Nuttall's Woodpecker,1,Aves,Piciformes,Picidae,Dryobates,nuttallii,2,1,2
Ochre-winged Trumpeter,1,Aves,Gruiformes,Psophiidae,Psophia,ochroptera,2,1,2
Oryzomys Species,1,Mammalia,Rodentia,Cricetidae,Oryzomys,,2,1,2
Owl-faced Monkey,1,Mammalia,Primates,Cercopithecidae,Cercopithecus,hamlyni,2,1,2
Phainopepla Species,1,Aves,Passeriformes,Ptiliogonatidae,Phainopepla,,2,1,2
Pine Warbler,1,Aves,Passeriformes,Parulidae,Setophaga,pinus,2,1,2
Plain-breasted Ground-dove,1,Aves,Columbiformes,Columbidae,Columbina,minuta,2,1,2
Plecotus Species,1,Mammalia,Chiroptera,Vespertilionidae,Plecotus,,2,1,2
Psarocolius Species,1,Aves,Passeriformes,Icteridae,Psarocolius,,2,1,2
Pteronura Species,1,Mammalia,Carnivora,Mustelidae,Pteronura,,2,1,2
Purple-breasted Sunbird,1,Aves,Passeriformes,Nectariniidae,Nectarinia,purpureiventris,2,1,2
Quiscalus Species,1,Aves,Passeriformes,Icteridae,Quiscalus,,2,1,2
Rana species,1,Amphibia,Anura,Ranidae,Rana,,2,1,2
Red-tailed Monkey,1,Mammalia,Primates,Cercopithecidae,Cercopithecus,ascanius,2,1,2
Round-tailed Ground Squirrel,1,Mammalia,Rodentia,Sciuridae,Xerospermophilus,tereticaudus,2,1,2
Ruby-crowned Kinglet,1,Aves,Passeriformes,Regulidae,Regulus,calendula,2,1,2
Rusty-spotted Cat,1,Mammalia,Carnivora,Felidae,Prionailurus,rubiginosus,2,1,2
Ruwenzori Turaco,1,Aves,Musophagiformes,Musophagidae,Gallirex,johnstoni,2,1,2
Sand Monitor,1,Reptilia,Squamata,Varanidae,Varanus,gouldii,2,1,2
Scaled Pigeon,1,Aves,Columbiformes,Columbidae,Patagioenas,speciosa,2,1,2
Scrubwren Species,1,Aves,Passeriformes,Acanthizidae,Sericornis,,2,1,2
Smith's Bush Squirrel,1,Mammalia,Rodentia,Sciuridae,Paraxerus,cepapi,2,1,2
Speckled Hummingbird,1,Aves,Caprimulgiformes,Trochilidae,Adelomyia,melanogenys,2,1,2
Steppe Eagle,1,Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,2,1,2
Stimson's Python,1,Reptilia,Squamata,Pythonidae,Antaresia,stimsoni,2,1,2
Striated Heron,1,Aves,Pelecaniformes,Ardeidae,Butorides,striatus,2,1,2
Striped Owl,1,Aves,Strigiformes,Strigidae,Asio,clamator,2,1,2
Sunda Flying Lemur,1,Mammalia,Dermoptera,Cynocephalidae,Galeopterus,variegatus,2,1,2
Tawny-headed Swallow,1,Aves,Passeriformes,Hirundinidae,Alopochelidon,fucata,2,1,2
Three-toed Box Turtle,1,Reptilia,Testudines,Emydidae,Terrapene,triunguis,2,1,2
Tinamotis Species,1,Aves,Struthioniformes,Tinamidae,Tinamotis,,2,1,2
Variegated Spider Monkey,1,Mammalia,Primates,Atelidae,Ateles,hybridus,2,1,2
Vespertilionidae Family,1,Mammalia,Chiroptera,Vespertilionidae,,,2,1,2
Western Grebe,1,Aves,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,2,1,2
Western Ribbonsnake,1,Reptilia,Squamata,Natricidae,Thamnophis,proximus,2,1,2
Western Rosella,1,Aves,Psittaciformes,Psittacidae,Platycercus,icterotis,2,1,2
Whistling Heron,1,Aves,Pelecaniformes,Ardeidae,Syrigma,sibilatrix,2,1,2
White Rhinoceros,1,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,2,1,2
White-backed Fire-eye,1,Aves,Passeriformes,Thamnophilidae,Pyriglena,leuconota,2,1,2
White-browed Babbler,1,Aves,Passeriformes,Pomatostomidae,Pomatostomus,superciliosus,2,1,2
White-cheeked Honeyeater,1,Aves,Passeriformes,Meliphagidae,Phylidonyris,niger,2,1,2
White-eyed Slaty-flycatcher,1,Aves,Passeriformes,Muscicapidae,Melaenornis,fischeri,2,1,2
Willow Tit,1,Aves,Passeriformes,Paridae,Poecile,montanus,2,1,2
Wilson's Phalarope,1,Aves,Charadriiformes,Scolopacidae,Steganopus,tricolor,2,1,2
Yellow Warbler,1,Aves,Passeriformes,Parulidae,Dendroica,aestiva,2,1,2
Yellow-crested Cockatoo,1,Aves,Psittaciformes,Cacatuidae,Cacatua,sulphurea,2,1,2
Yellow-streaked Greenbul,1,Aves,Passeriformes,Pycnonotidae,Phyllastrephus,flavostriatus,2,1,2
Acanthiza Species,2,Aves,Passeriformes,Acanthizidae,Acanthiza,,2,0,2
Accipiter Species,2,Aves,Accipitriformes,Accipitridae,Accipiter,,2,0,2
American Woodcock,2,Aves,Charadriiformes,Scolopacidae,Scolopax,minor,2,0,2
Antrostomus Species,2,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,,2,0,2
Aonyx Species,2,Mammalia,Carnivora,Mustelidae,Aonyx,,2,0,2
Aphelocoma Species,2,Aves,Passeriformes,Corvidae,Aphelocoma,,2,0,2
Ashy Drongo,2,Aves,Passeriformes,Dicruridae,Dicrurus,leucophaeus,2,0,2
Atelocynus Species,2,Mammalia,Carnivora,Canidae,Atelocynus,,2,0,2
Black Cuckoo,2,Aves,Cuculiformes,Cuculidae,Cuculus,clamosus,2,0,2
Black-throated Sparrow,2,Aves,Passeriformes,Passerellidae,Amphispiza,bilineata,2,0,2
Bonaparte's Gull,2,Aves,Charadriiformes,Laridae,Larus,philadelphia,2,0,2
Bornean Gibbon,2,Mammalia,Primates,Hylobatidae,Hylobates,muelleri,2,0,2
Buff-breasted Wren,2,Aves,Passeriformes,Troglodytidae,Cantorchilus,leucotis,2,0,2
Cedar Waxwing,2,Aves,Passeriformes,Bombycillidae,Bombycilla,cedrorum,2,0,2
Clay-colored Sparrow,2,Aves,Passeriformes,Passerellidae,Spizella,pallida,2,0,2
Cocoa Thrush,2,Aves,Passeriformes,Turdidae,Turdus,fumigatus,2,0,2
Common Vole,2,Mammalia,Rodentia,Cricetidae,Microtus,arvalis,2,0,2
Cowan's Shrew Tenrec,2,Mammalia,Afrosoricida,Tenrecidae,Microgale,cowani,2,0,2
Daurian Hedgehog,2,Mammalia,Eulipotyphla,Erinaceidae,Mesechinus,dauuricus,2,0,2
Dipodidae Family,2,Mammalia,Rodentia,Dipodidae,,,2,0,2
Fork-tailed Flycatcher,2,Aves,Passeriformes,Tyrannidae,Tyrannus,savana,2,0,2
Fuscous Flycatcher,2,Aves,Passeriformes,Tyrannidae,Cnemotriccus,fuscatus,2,0,2
Gemsbok,2,Mammalia,Cetartiodactyla,Bovidae,Oryx,gazella,2,0,2
Golden-crowned Kinglet,2,Aves,Passeriformes,Regulidae,Regulus,satrapa,2,0,2
Goldfinch,2,Aves,Passeriformes,Fringillidae,Carduelis,carduelis,2,0,2
Gray-breasted Wood-Wren,2,Aves,Passeriformes,Troglodytidae,Henicorhina,leucophrys,2,0,2
Guayaquil Squirrel,2,Mammalia,Rodentia,Sciuridae,Sciurus,stramineus,2,0,2
Hooded Gnateater,2,Aves,Passeriformes,Conopophagidae,Conopophaga,roberti,2,0,2
Leopard Ctenotus,2,Reptilia,Squamata,Scincidae,Ctenotus,pantherinus,2,0,2
Lilac-breasted Roller,2,Aves,Coraciiformes,Coraciidae,Coracias,caudatus,2,0,2
Mexican Hairy Dwarf Porcupine,2,Mammalia,Rodentia,Erethizontidae,Coendou,mexicanus,2,0,2
Montezuma quail,2,Aves,Galliformes,Odontophoridae,Cyrtonyx,montezumae,2,0,2
Mountain Scops-owl,2,Aves,Strigiformes,Strigidae,Otus,spilocephalus,2,0,2
Myodes Species,2,Mammalia,Rodentia,Cricetidae,Myodes,,2,0,2
Northern wheatear,2,Aves,Passeriformes,Muscicapidae,Oenanthe,oenanthe,2,0,2
Oak Titmouse,2,Aves,Passeriformes,Paridae,Baeolophus,inornatus,2,0,2
Pale-naped Brush-finch,2,Aves,Passeriformes,Passerellidae,Atlapetes,pallidinucha,2,0,2
Petroicidae Family,2,Aves,Passeriformes,Petroicidae,,,2,0,2
Phainopepla,2,Aves,Passeriformes,Ptiliogonatidae,Phainopepla,nitens,2,0,2
Phasianus Species,2,Aves,Galliformes,Phasianidae,Phasianus,,2,0,2
Pink Robin,2,Aves,Passeriformes,Petroicidae,Petroica,rodinogaster,2,0,2
Pteropodidae Family,2,Mammalia,Chiroptera,Pteropodidae,,,2,0,2
Red-handed Howler Monkey,2,Mammalia,Primates,Atelidae,Alouatta,belzebul,2,0,2
Rhinolophus Species,2,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,,2,0,2
Ring-billed Gull,2,Aves,Charadriiformes,Laridae,Larus,delawarensis,2,0,2
Russet-crowned Motmot,2,Aves,Coraciiformes,Momotidae,Momotus,mexicanus,2,0,2
Sooty Oystercatcher,2,Aves,Charadriiformes,Haematopodidae,Haematopus,fuliginosus,2,0,2
Spotless Starling,2,Aves,Passeriformes,Sturnidae,Sturnus,unicolor,2,0,2
Sturnus Species,2,Aves,Passeriformes,Sturnidae,Sturnus,,2,0,2
Tawny-rumped Tyrannulet,2,Aves,Passeriformes,Tyrannidae,Phyllomyias,uropygialis,2,0,2
Thryothorus Species,2,Aves,Passeriformes,Troglodytidae,Thryothorus,,2,0,2
Turdoides Species,2,Aves,Passeriformes,Leiotrichidae,Turdoides,,2,0,2
Urocitellus Species,2,Mammalia,Rodentia,Sciuridae,Urocitellus,,2,0,2
Variegated Antpitta,2,Aves,Passeriformes,Grallariidae,Grallaria,varia,2,0,2
White-breasted Nigrita,2,Aves,Passeriformes,Estrildidae,Nigrita,fusconotus,2,0,2
White-faced Heron,2,Aves,Pelecaniformes,Ardeidae,Egretta,novaehollandiae,2,0,2
White-fronted Lemur,2,Mammalia,Primates,Lemuridae,Eulemur,albifrons,2,0,2
White-thighed Surili,2,Mammalia,Primates,Cercopithecidae,Presbytis,siamensis,2,0,2
White/crandall's Saddleback Tamarin,2,Mammalia,Primates,Callitrichidae,Saguinus,melanoleucus,2,0,2
