class,order,family,genus,species,common_name,count_train,count_validation,count_test
,,,,,Blank,16477843,1609250,1048018
Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,3856989,384620,267429
Mammalia,Artiodactyla,Bovidae,Bos,taurus,Domestic Cattle,3322065,274972,186654
Mammalia,Diprotodontia,Macropodidae,Wallabia,bicolor,Swamp Wallaby,721735,80112,30708
Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,687145,75080,60587
Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern Gray Squirrel,532363,67438,97497
Mammalia,Primates,Hominidae,Homo,sapiens,Human,452354,40937,20933
Mammalia,Carnivora,Procyonidae,Procyon,lotor,Northern Raccoon,419200,42508,49536
Mammalia,Cetartiodactyla,Suidae,Sus,scrofa,Wild Boar,341772,45037,10506
Aves,,,,,Bird,311874,17890,25614
Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,285064,21304,26253
Mammalia,Cetartiodactyla,Cervidae,Cervus,elaphus,Red Deer,217185,24644,17902
Aves,Passeriformes,Corvidae,Corvus,corax,Common Raven,209824,4863,297
Mammalia,Carnivora,Ursidae,Ursus,americanus,American Black Bear,192530,15916,38576
Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Wild Turkey,182589,16311,8778
Mammalia,Cetartiodactyla,Tayassuidae,Pecari,tajacu,Collared Peccary,181116,24340,28942
Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,180369,4320,24156
Mammalia,Diprotodontia,Vombatidae,Vombatus,ursinus,Common Wombat,166241,17691,4412
Mammalia,Cetartiodactyla,Tayassuidae,Tayassu,pecari,White-lipped Peccary,152051,23626,10252
Mammalia,Diprotodontia,Macropodidae,Macropus,rufogriseus,Red-necked Wallaby,150035,11270,1651
Mammalia,Primates,Cercopithecidae,Macaca,nemestrina,Southern Pig-tailed Macaque,148591,16066,6669
Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,Common Brushtail Possum,145060,15090,919
Mammalia,Cetartiodactyla,Cervidae,Capreolus,capreolus,European Roe Deer,143832,11207,2531
Mammalia,Cetartiodactyla,Bovidae,Philantomba,monticola,Blue Duiker,141277,8976,31017
Mammalia,Diprotodontia,Macropodidae,Macropus,giganteus,Eastern Grey Kangaroo,134636,11664,8227
Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red Fox,116115,19083,16755
Aves,Passeriformes,Corvidae,Corvus,,Corvus Species,111509,1162,90337
Mammalia,Cetartiodactyla,Bovidae,Cephalophus,nigrifrons,Black-fronted Duiker,107790,9810,15796
Mammalia,Rodentia,Sciuridae,Sciurus,niger,Eastern Fox Squirrel,103966,9667,2317
Mammalia,Cetartiodactyla,Bovidae,Cephalophus,callipygus,Peters' Duiker,98354,6068,164
Mammalia,Cetartiodactyla,Cervidae,Mazama,americana,Red Brocket,96654,11925,9298
Mammalia,Didelphimorphia,Didelphidae,Didelphis,virginiana,Virginia Opossum,95495,7982,15477
Mammalia,Rodentia,Muridae,Rattus,,Rattus Species,90274,9955,1873
Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Spotted Paca,87004,9272,14472
Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,80895,6929,22900
Mammalia,Lagomorpha,Leporidae,Sylvilagus,floridanus,Eastern Cottontail,79288,10798,11551
Mammalia,Cetartiodactyla,Bovidae,Tragelaphus,scriptus,Bushbuck,79222,15301,17429
Mammalia,Cetartiodactyla,Cervidae,Cervus,nippon,Sika Deer,78590,6365,0
